rank,sorted_distance,sorted_idx
110,9.130974649451673e-05,10057
111,9.139843314187601e-05,11592
112,9.140737529378384e-05,545
113,9.146436059381813e-05,18254
114,9.146786032943055e-05,12803
115,9.148683602688834e-05,28827
116,9.14889678824693e-05,16726
117,9.153861174127087e-05,17673
118,9.153927385341376e-05,11245
119,9.158847387880087e-05,8962
120,9.160725312540308e-05,29247
121,9.160913759842515e-05,19374
122,9.16281423997134e-05,10918
123,9.162945207208395e-05,9112
124,9.165157825918868e-05,28154
125,9.166653762804344e-05,23659
126,9.167586540570483e-05,15419
127,9.168360702460632e-05,4818
128,9.180259075947106e-05,10188
129,9.181806672131643e-05,23248
130,9.19026424526237e-05,2917
131,9.194374433718622e-05,27708
132,9.195128950523213e-05,18151
133,9.198019688483328e-05,19125
134,9.198355110129341e-05,2652
135,9.198500629281625e-05,29000
136,9.200618660543114e-05,22987
137,9.204357047565281e-05,21769
138,9.204508387483656e-05,28668
139,9.204572415910661e-05,16760
140,9.204787784256041e-05,19113
141,9.207397670252249e-05,24248
142,9.207467519445345e-05,760
143,9.207812399836257e-05,8743
144,9.207850234815851e-05,1518
145,9.208269329974428e-05,25155
146,9.20933234738186e-05,26878
147,9.214657620759681e-05,1963
148,9.218924242304638e-05,9832
149,9.219905768986791e-05,15518
150,9.221452637575567e-05,21459
151,9.221452637575567e-05,27842
152,9.222944936482236e-05,10645
153,9.231922012986615e-05,15449
154,9.232834418071434e-05,1277
155,9.235994366463274e-05,17642
156,9.236032929038629e-05,16218
157,9.23681291169487e-05,24000
158,9.245104592991993e-05,20594
159,9.250098082702607e-05,15407
160,9.251223673345521e-05,16022
161,9.251593291992322e-05,11583
162,9.255592885892838e-05,15186
163,9.258458158001304e-05,11688
164,9.260304796043783e-05,12190
165,9.260659862775356e-05,11003
166,9.261351806344464e-05,1974
167,9.268625581171364e-05,6651
168,9.269382280763239e-05,17227
169,9.271099406760186e-05,6115
170,9.274359763367102e-05,4168
171,9.275936463382095e-05,4779
172,9.277610661229119e-05,5013
173,9.27910441532731e-05,3142
174,9.279534424422309e-05,28614
175,9.281888196710497e-05,18086
176,9.282965766033158e-05,25795
177,9.284356201533228e-05,14866
178,9.285086707677692e-05,22749
179,9.290094749303535e-05,28784
180,9.292766480939463e-05,685
181,9.2986949312035e-05,7320
182,9.301153477281332e-05,15499
183,9.301820682594553e-05,1690
184,9.303412662120536e-05,25627
185,9.304494597017765e-05,19781
186,9.310110181104392e-05,4967
187,9.310903988080099e-05,20926
188,9.313751070294529e-05,27805
189,9.315540955867618e-05,16627
190,9.319841046817601e-05,13480
191,9.320565004600212e-05,10531
192,9.321328980149701e-05,16323
193,9.326140570919961e-05,17356
194,9.328003943664953e-05,2331
195,9.328508167527616e-05,24043
196,9.329393651569262e-05,20664
197,9.33191113290377e-05,18892
198,9.333150956081226e-05,12968
199,9.337536175735295e-05,8099
200,9.337779192719609e-05,1044
201,9.345460421172902e-05,17943
202,9.347464219899848e-05,15305
203,9.347883315058425e-05,4226
204,9.348636376671493e-05,4152
205,9.348889579996467e-05,20356
206,9.35094358283095e-05,5924
207,9.353167843073606e-05,4328
208,9.35323114390485e-05,23601
209,9.355367365060374e-05,8597
210,9.355733345728368e-05,22197
211,9.356992813991383e-05,4087
212,9.357441012980416e-05,3195
213,9.360657713841647e-05,9202
214,9.361423144582659e-05,2396
215,9.361738921143115e-05,2221
216,9.362768469145522e-05,22907
217,9.366559970658273e-05,26805
218,9.367403981741518e-05,12488
219,9.375173249281943e-05,12342
220,9.377748938277364e-05,5531
221,9.386056626681238e-05,13744
222,9.387812315253541e-05,2916
223,9.389877232024446e-05,10676
224,9.392440551891923e-05,15688
225,9.402050636708736e-05,9601
226,9.404509182786569e-05,3801
227,9.410305210622028e-05,11073
228,9.41262551350519e-05,17324
229,9.416350803803653e-05,799
230,9.416604007128626e-05,7962
231,9.418074478162453e-05,15396
232,9.419344132766128e-05,9595
233,9.421995491720736e-05,28133
234,9.42307960940525e-05,2188
235,9.423708979738876e-05,29615
236,9.423951269127429e-05,8846
237,9.424691961612552e-05,26187
238,9.425111784366891e-05,7363
239,9.431578655494377e-05,19421
240,9.43175982683897e-05,29055
241,9.435872198082507e-05,20208
242,9.437134576728567e-05,28725
243,9.437688277103007e-05,26511
244,9.43787963478826e-05,9574
245,9.441190195502713e-05,19207
246,9.442128794034943e-05,3565
247,9.444946044823155e-05,21270
248,9.445552132092416e-05,360
249,9.447504999116063e-05,2458
250,9.448058699490502e-05,16846
251,9.449038770981133e-05,22186
252,9.45399297052063e-05,16987
253,9.45407446124591e-05,1475
254,9.454976679990068e-05,15401
255,9.457836858928204e-05,11273
256,9.457863779971376e-05,7082
257,9.45862484513782e-05,22351
258,9.458634303882718e-05,16117
259,9.458892600378022e-05,4980
260,9.459623834118247e-05,24186
261,9.460059663979337e-05,7206
262,9.460478759137914e-05,22020
263,9.463688911637291e-05,3620
264,9.464639151701704e-05,19824
265,9.468370990362018e-05,18684
266,9.46958753047511e-05,9961
267,9.470522491028532e-05,8086
268,9.473857789998874e-05,28320
269,9.476409468334168e-05,23897
270,9.478011634200811e-05,14067
271,9.479024447500706e-05,25425
272,9.479024447500706e-05,26875
273,9.479998698225245e-05,11367
274,9.481903543928638e-05,12490
275,9.484533802606165e-05,27572
276,9.487592615187168e-05,28039
277,9.488341311225668e-05,27957
278,9.491667879046872e-05,17018
279,9.493054676568136e-05,14139
280,9.493923425907269e-05,2202
281,9.496777056483552e-05,20306
282,9.497567953076214e-05,383
283,9.499781299382448e-05,554
284,9.499930456513539e-05,26095
285,9.500318992650136e-05,11066
286,9.500593296252191e-05,3747
287,9.502987086307257e-05,11950
288,9.504543413640931e-05,9545
289,9.505652269581333e-05,1513
