idx,img,attr,rel,graph
162,0.3276405930519104,0.16373597085475922,0.18629467487335205,0.32232868671417236
163,0.33927005529403687,0.17245449125766754,0.1513233482837677,0.3369520902633667
164,0.33124035596847534,0.1631809026002884,0.17301201820373535,0.33256664872169495
165,0.339101105928421,0.16103331744670868,0.1541811227798462,0.3456844985485077
166,0.3105248808860779,0.16328102350234985,0.2093316614627838,0.31686243414878845
167,0.3240197002887726,0.17565365135669708,0.16919997334480286,0.33112668991088867
168,0.32514840364456177,0.1758810430765152,0.1735890507698059,0.3253815472126007
169,0.2778761386871338,0.18300725519657135,0.2568195164203644,0.2822970747947693
170,0.31120869517326355,0.1808103770017624,0.1979728490114212,0.31000807881355286
171,0.32858967781066895,0.17308905720710754,0.16257432103157043,0.33574700355529785
172,0.327839732170105,0.16193757951259613,0.18553219735622406,0.32469046115875244
173,0.32501018047332764,0.1667773723602295,0.17726761102676392,0.33094483613967896
174,0.28448110818862915,0.1835532933473587,0.24619433283805847,0.2857712507247925
175,0.32013678550720215,0.1688525229692459,0.19185204803943634,0.3191586434841156
176,0.3278019428253174,0.15085959434509277,0.24039888381958008,0.2809395492076874
177,0.31552278995513916,0.1809047907590866,0.18894560635089874,0.3146268129348755
178,0.32951846718788147,0.17213396728038788,0.1651250272989273,0.3332225978374481
179,0.37097370624542236,0.1718090921640396,0.1452874094247818,0.31192976236343384
180,0.33892375230789185,0.16374562680721283,0.1810673028230667,0.316263347864151
181,0.33032283186912537,0.16861970722675323,0.17476952075958252,0.3262879550457001
182,0.32689452171325684,0.16636204719543457,0.16842688620090485,0.33831655979156494
183,0.3293457627296448,0.16868941485881805,0.17220520973205566,0.3297595977783203
184,0.3284221887588501,0.16037169098854065,0.18266184628009796,0.3285442888736725
185,0.3534456491470337,0.17298094928264618,0.14058949053287506,0.33298394083976746
186,0.3152925670146942,0.17552678287029266,0.18713779747486115,0.32204288244247437
187,0.30699601769447327,0.1708211451768875,0.20673683285713196,0.3154459595680237
188,0.34126102924346924,0.17269912362098694,0.15312011539936066,0.332919716835022
189,0.3344557583332062,0.1599612683057785,0.18660157918930054,0.31898143887519836
190,0.31390872597694397,0.15328006446361542,0.22101403772830963,0.311797171831131
191,0.32688215374946594,0.1777084618806839,0.1739736646413803,0.32143568992614746
192,0.32634198665618896,0.16847755014896393,0.16173133254051208,0.34344911575317383
193,0.3431811034679413,0.16349643468856812,0.1565576195716858,0.3367648422718048
194,0.3087459206581116,0.1552427113056183,0.21919499337673187,0.31681641936302185
195,0.3212851583957672,0.16551469266414642,0.1853422224521637,0.32785797119140625
196,0.32286620140075684,0.16417451202869415,0.18643036484718323,0.3265289068222046
197,0.3341076672077179,0.16308215260505676,0.17075130343437195,0.3320588767528534
198,0.32963627576828003,0.17635256052017212,0.15821462869644165,0.3357964754104614
199,0.3493430018424988,0.16370150446891785,0.14017035067081451,0.34678515791893005
200,0.32641154527664185,0.17290523648262024,0.16321800649166107,0.3374652862548828
201,0.32126328349113464,0.15618881583213806,0.19744561612606049,0.3251022398471832
202,0.31709131598472595,0.17269107699394226,0.16176825761795044,0.34844937920570374
203,0.3197823166847229,0.16457052528858185,0.18627211451530457,0.3293750584125519
204,0.320475310087204,0.16541603207588196,0.188700869679451,0.32540780305862427
205,0.3346323072910309,0.1642986685037613,0.16900335252285004,0.3320657014846802
206,0.3314324617385864,0.17180374264717102,0.16378866136074066,0.3329751193523407
207,0.36382612586021423,0.1728527694940567,0.14093948900699615,0.3223815858364105
208,0.3222915828227997,0.1638767272233963,0.18478374183177948,0.32904791831970215
209,0.3273303210735321,0.17019082605838776,0.17400720715522766,0.3284716308116913
210,0.3120425343513489,0.15533700585365295,0.220891073346138,0.31172946095466614
211,0.3471844792366028,0.17328515648841858,0.14078454673290253,0.3387458622455597
212,0.3117922842502594,0.17250382900238037,0.15423935651779175,0.3614645004272461
213,0.31771233677864075,0.16465884447097778,0.18590474128723145,0.33172407746315
214,0.22475086152553558,0.16179637610912323,0.23882964253425598,0.3746230900287628
215,0.2997991144657135,0.18410979211330414,0.21581979095935822,0.30027127265930176
216,0.31001603603363037,0.17391206324100494,0.20063410699367523,0.31543782353401184
217,0.3057269752025604,0.16330087184906006,0.2121315747499466,0.3188405930995941
218,0.3169857859611511,0.15515707433223724,0.21213608980178833,0.3157210946083069
219,0.3302254378795624,0.17520460486412048,0.15936316549777985,0.3352067470550537
220,0.30506637692451477,0.18238814175128937,0.2080143392086029,0.30453112721443176
221,0.32726261019706726,0.17256483435630798,0.16964277625083923,0.33052974939346313
222,0.343051552772522,0.1719442903995514,0.152915358543396,0.33208879828453064
223,0.28743425011634827,0.18404191732406616,0.2465655654668808,0.2819582521915436
224,0.32161015272140503,0.16496171057224274,0.18131427466869354,0.3321138620376587
225,0.2880541682243347,0.16497844457626343,0.23830953240394592,0.30865782499313354
226,0.331633985042572,0.17137974500656128,0.16946643590927124,0.32751986384391785
227,0.3309377133846283,0.17054665088653564,0.16859585046768188,0.3299197554588318
228,0.33369526267051697,0.1640716940164566,0.17263375222682953,0.3295992612838745
